time,temperature,temperature_filtered
145.313,60.94,61.005122589080486
145.713,61.08,61.10585485452672
146.113,61.22,61.21727688787095
146.513,61.35,61.319597907812096
146.913,61.49,61.434946060803284
147.313,61.49,61.55138934292162
147.713,61.63,61.67018633540281
148.113,61.76,61.78476953252605
148.513,61.9,61.904668192218764
148.913,62.04,62.030156914023266
149.313,62.17,62.16933638443844
149.713,62.31,62.29966328865551
150.113,62.44,62.4297973193845
150.513,62.58,62.56004576658946
150.913,62.71,62.69127492644562
151.313,62.71,62.82491010133938
151.713,62.98,62.9486596927091
152.113,63.12,63.0789604445888
152.513,63.25,63.20407976462803
152.913,63.39,63.32547564563489
153.313,63.39,63.443520758416845
153.713,63.52,63.55914677999252
154.113,63.65,63.673844393591736
154.513,63.79,63.794942791761066
154.913,63.92,63.91210199411478
155.313,64.05,64.02671134357539
155.713,64.19,64.12808761032922
156.113,64.19,64.24401765282677
156.513,64.32,64.35008499509549
156.913,64.45,64.45801242235929
157.313,64.59,64.57068322981272
157.713,64.72,64.67692056227429
158.113,64.85,64.78467799934522
158.513,64.85,64.89464203988135
158.913,64.99,65.0084014383776
159.313,65.12,65.12555737168913
159.713,65.25,65.24769859431092
160.113,65.25,65.37641386073783
160.513,65.51,65.50013403072803
160.913,65.65,65.62642039882218
161.313,65.78,65.75556717881564
161.713,65.91,65.88877084014287
162.113,66.04,66.02579928080974
162.513,66.17,66.16697940503336
162.913,66.3,66.3081758744678
163.313,66.44,66.44615560640634
163.713,66.57,66.58071918927655
164.113,66.7,66.71222621771722
164.513,66.83,66.83657404380418
164.913,66.96,66.96138934292154
165.313,67.09,67.08109186008402
165.713,67.22,67.19593984962307
166.113,67.35,67.31401765282672
166.513,67.48,67.42483818241155
166.913,67.48,67.5296436744024
167.313,67.61,67.6296763648241
167.713,67.74,67.72708074534061
168.113,67.87,67.8225727361873
168.513,67.87,67.9174272638107
168.913,68.0,68.01291925465738
169.313,68.13,68.11032363517388
169.713,68.26,68.21091533180676
170.113,68.26,68.31596927100259
170.513,68.39,68.42676037920788
170.913,68.52,68.53785550833504
171.313,68.65,68.64923504413106
171.713,68.78,68.76862373324514
172.113,68.91,68.90374632232653
172.513,69.04,69.04375612945304
172.913,69.17,69.17780647270247
173.313,69.3,69.31362209872405
173.713,69.43,69.45221967963285
174.113,69.56,69.59318731611535
174.513,69.69,69.7252860411889
174.913,69.94,69.86311539718758
175.313,70.07,69.99543641712873
175.713,70.2,70.12273945733796
176.113,70.2,70.24607388035201
