time,temperature,temperature_filtered
66.592,51.85,51.862922523699794
66.992,52.0,51.990346518469316
67.392,52.16,52.118051650865524
67.792,52.31,52.24727688787108
68.192,52.46,52.38072245831894
68.592,52.46,52.506685191238184
68.992,52.61,52.63402092186911
69.392,52.76,52.773389996730174
69.792,52.91,52.890676691728544
70.192,53.07,53.017100359593854
70.592,53.07,53.14143510951212
70.992,53.22,53.26456031382726
71.392,53.37,53.38847335730552
71.792,53.52,53.52303040209139
72.192,53.67,53.65613272311134
72.592,53.81,53.789774436089424
72.992,53.96,53.91297482837449
73.392,53.96,54.03475318731532
73.792,54.26,54.15664596273212
74.192,54.26,54.280748610656275
74.592,54.41,54.40863027132969
74.992,54.56,54.536185027786054
75.392,54.7,54.66042497548138
75.792,54.7,54.78208237986189
76.192,54.85,54.911176855180614
76.592,55.0,55.0284733573055
76.992,55.14,55.15575351421951
77.392,55.29,55.2827263811695
77.792,55.44,55.38928734880598
78.192,55.58,55.519581562601324
78.592,55.73,55.64873161163697
78.992,55.73,55.765952925791915
79.392,55.87,55.893994769531695
79.792,56.02,56.02120300751797
80.192,56.02,56.136482510623566
80.592,56.31,56.249640405360395
80.992,56.31,56.36157240928324
81.392,56.45,56.48155933311457
81.792,56.74,56.59161490683147
82.192,56.74,56.713684210525486
82.592,56.74,56.836211180123385
82.992,57.03,56.9617325923496
83.392,57.03,57.07089898659608
83.792,57.17,57.1927459954225
84.192,57.31,57.30892775416718
84.592,57.45,57.42749591369644
84.992,57.6,57.54957829355914
85.392,57.6,57.676302713304146
85.792,57.88,57.804207257272765
86.192,57.88,57.94674076495501
86.592,58.02,58.08419418110407
86.992,58.16,58.21261196469348
87.392,58.44,58.3537463223267
87.792,58.44,58.495289310231236
88.192,58.72,58.633318077802336
88.592,58.72,58.768715266426064
88.992,59.01,58.9023635174885
89.392,59.01,59.036047728014815
89.792,59.14,59.15805165086543
90.192,59.28,59.28842105263071
90.592,59.42,59.407646289636254
90.992,59.56,59.531869892120724
91.392,59.7,59.64940830336623
91.792,59.7,59.774400130760796
92.192,59.84,59.88692383131654
92.592,59.98,60.00841778358852
92.992,60.12,60.120421706439124
93.392,60.26,60.24440666884514
93.792,60.39,60.36085975808998
94.192,60.53,60.47830990519689
94.592,60.67,60.597459954232505
94.992,60.67,60.71935599869148
95.392,60.81,60.845603138279586
95.792,60.94,60.97637790127402
