time,power ratio,temperature
307.544,0.11,82.76
308.044,0.12,82.51
308.544,0.12,82.76
309.044,0.12,82.89
309.544,0.12,82.76
310.044,0.12,82.51
310.544,0.11,83.14
311.044,0.11,82.51
311.544,0.11,82.76
312.044,0.11,82.63
312.544,0.11,83.14
313.044,0.12,82.76
313.544,0.12,82.89
314.044,0.12,83.02
314.544,0.12,82.89
315.044,0.12,82.63
315.544,0.11,82.76
316.044,0.11,82.76
316.544,0.11,83.02
317.044,0.11,82.63
317.544,0.11,82.76
318.044,0.11,82.89
318.544,0.11,82.76
319.044,0.11,82.89
319.544,0.11,82.89
320.044,0.11,83.14
320.544,0.1,83.02
321.044,0.1,83.02
321.544,0.1,83.02
322.044,0.1,83.14
322.544,0.1,83.02
323.044,0.1,82.89
323.544,0.1,83.02
324.044,0.1,83.02
324.544,0.1,83.02
325.044,0.1,83.02
325.544,0.1,83.14
326.044,0.1,83.14
326.544,0.1,83.27
327.044,0.1,82.89
327.544,0.1,82.89
328.044,0.1,82.89
328.544,0.1,83.02
329.044,0.1,83.14
329.544,0.1,83.14
330.044,0.1,83.02
330.544,0.11,82.89
331.044,0.11,83.27
331.544,0.11,83.27
332.044,0.11,82.89
332.544,0.11,83.02
333.044,0.1,83.27
333.544,0.1,83.14
334.044,0.1,83.14
334.544,0.1,83.14
335.044,0.1,82.89
335.544,0.1,83.27
336.044,0.1,82.89
336.544,0.1,83.4
337.044,0.1,83.14
337.544,0.1,83.02
338.044,0.1,83.14
338.544,0.1,83.27
339.044,0.1,83.14
339.544,0.1,83.27
340.044,0.1,83.4
340.544,0.1,83.27
341.044,0.1,83.02
341.544,0.1,82.89
342.044,0.1,83.65
342.544,0.1,83.02
343.044,0.11,83.27
343.544,0.11,83.14
344.044,0.11,83.14
344.544,0.11,83.02
345.044,0.11,83.14
345.544,0.1,83.02
346.044,0.1,83.02
346.544,0.1,83.27
347.044,0.1,83.4
347.544,0.1,83.65
348.044,0.1,83.27
348.544,0.1,83.65
349.044,0.1,83.52
349.544,0.1,83.27
350.044,0.1,83.4
350.544,0.1,83.65
351.044,0.1,83.65
351.544,0.1,83.52
352.044,0.1,83.27
352.544,0.1,83.65
353.044,0.1,83.27
353.544,0.1,83.4
354.044,0.1,83.27
354.544,0.1,83.65
355.044,0.1,83.52
355.544,0.1,83.91
356.044,0.1,83.65
356.544,0.1,83.4
357.044,0.1,83.4
357.544,0.1,83.65
358.044,0.1,83.78
358.544,0.1,83.65
359.044,0.1,83.52
359.544,0.1,83.52
360.044,0.1,84.03
360.544,0.1,83.65
361.044,0.1,83.27
361.544,0.1,83.52
362.044,0.1,83.65
362.544,0.1,83.65
363.044,0.1,83.65
363.544,0.1,83.4
364.044,0.1,83.65
364.544,0.1,83.27
365.044,0.1,83.4
365.544,0.1,83.65
366.044,0.1,83.27
366.544,0.1,83.65
367.044,0.1,83.52
367.544,0.1,83.4
368.044,0.1,83.78
368.544,0.1,83.52
369.044,0.1,83.52
369.544,0.1,83.52
370.044,0.1,83.4
370.544,0.1,83.65
371.044,0.1,83.52
371.544,0.1,83.65
372.044,0.1,83.27
372.544,0.1,83.52
373.044,0.1,83.65
373.544,0.1,83.52
374.044,0.1,83.4
374.544,0.1,83.91
375.044,0.1,83.27
375.544,0.1,83.27
376.044,0.1,83.78
376.544,0.1,83.65
377.044,0.1,83.4
377.544,0.1,83.65
378.044,0.1,83.65
378.544,0.1,83.78
379.044,0.1,83.52
379.544,0.1,83.65
380.044,0.1,83.65
380.544,0.1,83.65
381.044,0.1,83.78
381.544,0.1,83.4
382.044,0.1,83.65
382.544,0.1,83.4
383.044,0.1,83.65
383.544,0.1,83.52
384.044,0.1,83.65
384.544,0.1,83.65
385.044,0.1,83.52
385.544,0.1,83.78
386.044,0.1,83.4
386.544,0.1,83.65
387.044,0.1,83.52
387.544,0.1,83.78
388.044,0.1,83.91
388.544,0.1,83.78
389.044,0.1,83.91
389.544,0.1,84.16
390.044,0.1,83.78
390.544,0.1,83.78
391.044,0.1,83.52
391.544,0.1,84.16
392.044,0.1,84.16
392.544,0.1,83.91
393.044,0.1,83.91
393.544,0.1,83.91
394.044,0.1,83.65
394.544,0.1,84.03
395.044,0.1,84.03
395.544,0.1,84.03
396.044,0.1,83.91
396.544,0.1,84.29
397.044,0.1,84.03
397.544,0.1,84.29
398.044,0.1,84.16
398.544,0.1,83.78
399.044,0.1,83.65
399.544,0.1,83.65
400.044,0.1,84.03
400.544,0.1,83.91
401.044,0.1,83.91
401.544,0.1,83.91
402.044,0.1,83.65
402.544,0.1,83.52
403.044,0.1,83.91
403.544,0.1,83.91
404.044,0.1,83.52
404.544,0.1,83.78
405.044,0.1,83.78
405.544,0.1,83.78
406.044,0.1,83.52
406.544,0.1,83.78
407.044,0.1,83.78
407.544,0.1,83.52
408.044,0.1,83.78
408.544,0.1,83.65
409.044,0.1,83.91
409.544,0.1,83.65
410.044,0.1,83.78
410.544,0.1,83.91
411.044,0.1,83.65
411.544,0.1,84.16
412.044,0.1,84.03
412.544,0.1,83.91
413.044,0.1,83.91
413.544,0.1,83.65
414.044,0.1,84.03
414.544,0.1,83.91
415.044,0.1,83.78
415.544,0.1,83.78
416.044,0.1,83.78
416.544,0.1,84.03
417.044,0.1,83.91
417.544,0.1,83.91
418.044,0.1,84.03
418.544,0.1,83.78
419.044,0.1,84.03
419.544,0.1,84.29
420.044,0.1,84.03
420.544,0.1,83.91
